top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
b,x,o,x,x,o,b,o,x,ongoing
x,o,x,x,o,b,o,b,x,ongoing
o,x,o,x,b,x,x,o,b,ongoing
x,o,x,x,b,x,o,b,o,ongoing
o,x,b,o,x,x,x,b,o,ongoing
b,o,x,x,o,o,x,x,b,ongoing
x,x,o,o,b,x,b,o,x,ongoing
o,x,x,b,o,o,x,o,b,ongoing
b,x,o,o,x,x,x,o,x,ongoing
x,o,x,o,b,b,x,o,x,ongoing
o,x,x,o,x,o,b,o,x,ongoing
b,x,x,o,o,x,o,x,b,ongoing
x,o,x,x,b,o,b,o,x,ongoing
o,x,o,x,b,x,x,b,o,ongoing
b,x,x,o,o,b,x,o,x,ongoing
